# CP-F1,   ALPHA= 30 DEG.,  RE= 43 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
100294  20.7 40  0.9544 -0.0571
100294  20.7 41  0.9717  0.1683
100295  25.4  1  0.0000  0.0995
100295  25.4  2  0.0006  0.5216
100295  25.4  3  0.0022  0.7691
100295  25.4  4  0.0046  0.8448
100295  25.4  5  0.0074  0.8524
100295  25.4  6  0.0105  0.8166
100295  25.6  7  0.0137  0.7857
100295  25.3  8  0.0172  0.7593
100295  25.4  9  0.0208  0.7120
100295  25.4 10  0.0282  0.6560
100295  25.4 11  0.0358  0.6005
100295  25.4 12  0.0435  0.5633
100295  25.4 13  0.0555  0.5022
100295  25.4 14  0.0674  0.4401
100295  25.4 15  0.0876  0.3931
100295  25.4 16  0.1079  0.3599
100295  25.4 17  0.1284  0.3275
100295  25.4 18  0.1489  0.2886
100295  25.4 19  0.1901  0.2477
100295  25.3 20  0.2315  0.2059
100295  25.4 21  0.2728  0.1574
100295  25.3 22  0.3145  0.1440
100295  25.4 23  0.3561  0.1172
100295  25.4 24  0.3978  0.0926
100295  25.4 25  0.4394  0.0584
100295  25.4 26  0.4811  0.0221
100295  25.4 27  0.5228  0.0188
100295  25.4 28  0.5644  0.0084
100295  25.4 29  0.6061  0.0028
100295  25.4 30  0.6478 -0.0220
100295  25.4 31  0.6894 -0.0368
100295  25.4 32  0.7309 -0.0594
100295  25.4 33  0.7725 -0.1196
100295  25.4 34  0.8139 -0.0922
100295  25.4 35  0.8346 -0.1178
100295  25.4 36  0.8552 -0.1263
100295  25.7 37  0.8758 -0.1354
100295  25.6 38  0.9166 -0.1336
100295  25.4 39  0.9365 -0.1370
100295  25.4 40  0.9544 -0.0734
100295  25.4 41  0.9717  0.1444
100296  30.3  1  0.0000  0.1175
100296  30.3  2  0.0006  0.5000
100296  30.3  3  0.0022  0.7289
100296  30.3  4  0.0046  0.7858
100296  30.3  5  0.0074  0.7779
100296  30.3  6  0.0105  0.7434
100296  30.3  7  0.0137  0.7133
100296  30.3  8  0.0172  0.6806
100296  30.3  9  0.0208  0.6319
100296  30.3 10  0.0282  0.5772
100296  30.3 11  0.0358  0.5258
100296  30.3 12  0.0435  0.4822
100296  30.3 13  0.0555  0.4199
100296  30.3 14  0.0674  0.3687
100296  30.3 15  0.0876  0.3201
100296  30.3 16  0.1079  0.2855
100296  30.3 17  0.1284  0.2543
100296  30.3 18  0.1489  0.2109
100296  30.3 19  0.1901  0.1736
100296  30.3 20  0.2315  0.1288
100296  30.3 21  0.2728  0.0877
100296  30.3 22  0.3145  0.0692
100296  30.3 23  0.3561  0.0479
100296  30.3 24  0.3978  0.0187
100296  30.3 25  0.4394 -0.0069
100296  30.3 26  0.4811 -0.0511
100296  30.3 27  0.5228 -0.0456
100296  30.3 28  0.5644 -0.0545
100296  30.3 29  0.6061 -0.0570
