# CP-NWG,  ALPHA= 10 DEG., RE= 7.7 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
410205   2.4 37  0.8758 -0.0831
410205   2.4 38  0.8962 -0.0803
410205   2.4 39  0.9166 -0.0647
410205   2.4 40  0.9365 -0.0325
410205   2.4 41  0.9544  0.0373
410205   2.4 42  0.9717  0.2126
410206   4.8  1  0.0000  0.9013
410206   4.8  2  0.0006  0.9965
410206   4.8  3  0.0022  0.9620
410206   4.8  4  0.0046  0.8604
410206   4.8  5  0.0074  0.7576
410206   4.8  6  0.0105  0.6497
410206   4.8  7  0.0137  0.5886
410206   4.8  8  0.0172  0.5312
410206   4.8  9  0.0208  0.4830
410206   4.8 10  0.0282  0.4051
410206   4.8 11  0.0358  0.3476
410206   4.8 12  0.0435  0.3042
410206   4.8 13  0.0555  0.2474
410206   4.8 14  0.0674  0.2035
410206   4.8 15  0.0876  0.1757
410206   4.8 16  0.1079  0.1413
410206   4.8 17  0.1284  0.1150
410206   4.8 18  0.1489  0.0925
410206   4.8 19  0.1901  0.0699
410206   4.8 20  0.2315  0.0515
410206   4.8 21  0.2728  0.0331
410206   4.8 22  0.3145  0.0113
410206   4.8 23  0.3561  0.0002
410206   4.8 24  0.3978 -0.0095
410206   4.8 25  0.4394 -0.0217
410206   4.8 26  0.4811 -0.0312
410206   4.8 27  0.5228 -0.0440
410206   4.8 28  0.5644 -0.0544
410206   4.8 29  0.6061 -0.0574
410206   4.8 30  0.6478 -0.0629
410206   4.8 31  0.6894 -0.0749
410206   4.8 32  0.7309 -0.0768
410206   4.8 33  0.7725 -0.0811
410206   4.8 34  0.8139 -0.0864
410206   4.8 35  0.8346 -0.0910
410206   4.8 36  0.8552 -0.0838
410206   4.8 37  0.8758 -0.0820
410206   4.8 38  0.8962 -0.0802
410206   4.8 39  0.9166 -0.0645
410206   4.8 40  0.9365 -0.0319
410206   4.8 41  0.9544  0.0407
410206   4.8 42  0.9717  0.2133
410207   9.6  1  0.0000  0.9026
410207   9.6  2  0.0006  0.9949
410207   9.6  3  0.0022  0.9596
410207   9.6  4  0.0046  0.8570
410207   9.6  5  0.0074  0.7527
410207   9.6  6  0.0105  0.6463
410207   9.6  7  0.0137  0.5859
410207   9.6  8  0.0172  0.5257
410207   9.6  9  0.0208  0.4786
410207   9.6 10  0.0282  0.4006
410207   9.6 11  0.0358  0.3399
410207   9.6 12  0.0435  0.2990
410207   9.6 13  0.0555  0.2413
410207   9.6 14  0.0674  0.1950
410207   9.6 15  0.0876  0.1747
410207   9.6 16  0.1079  0.1386
410207   9.6 17  0.1284  0.1093
410207   9.6 18  0.1489  0.0901
410207   9.6 19  0.1901  0.0681
410207   9.6 20  0.2315  0.0462
410207   9.6 21  0.2728  0.0281
410207   9.6 22  0.3145  0.0072
410207   9.6 23  0.3561 -0.0025
410207   9.6 24  0.3978 -0.0120
410207   9.6 25  0.4394 -0.0238
410207   9.6 26  0.4811 -0.0329
410207   9.6 27  0.5228 -0.0467
410207   9.6 28  0.5644 -0.0576
410207   9.6 29  0.6061 -0.0611
410207   9.6 30  0.6478 -0.0653
410207   9.6 31  0.6894 -0.0779
410207   9.6 32  0.7309 -0.0783
410207   9.6 33  0.7725 -0.0827
410207   9.6 34  0.8139 -0.0882
410207   9.6 35  0.8346 -0.0925
410207   9.6 36  0.8552 -0.0878
410207   9.6 37  0.8758 -0.0838
410207   9.6 38  0.8962 -0.0798
410207   9.6 39  0.9166 -0.0651
410207   9.6 40  0.9365 -0.0326
410207   9.6 41  0.9544  0.0387
410207   9.6 42  0.9717  0.2122
410208  14.4  1  0.0000  0.9027
410208  14.4  2  0.0006  0.9957
410208  14.4  3  0.0022  0.9547
410208  14.4  4  0.0046  0.8504
410208  14.4  5  0.0074  0.7460
410208  14.4  6  0.0105  0.6377
410208  14.4  7  0.0137  0.5794
410208  14.4  8  0.0172  0.5207
410208  14.4  9  0.0208  0.4733
410208  14.4 10  0.0282  0.3947
410208  14.4 11  0.0358  0.3384
410208  14.4 12  0.0435  0.2937
410208  14.4 13  0.0555  0.2379
410208  14.4 14  0.0674  0.1895
410208  14.4 15  0.0876  0.1676
410208  14.4 16  0.1079  0.1328
410208  14.4 17  0.1284  0.1074
410208  14.4 18  0.1489  0.0849
410208  14.4 19  0.1901  0.0633
410208  14.4 20  0.2315  0.0423
410208  14.4 21  0.2728  0.0245
410208  14.4 22  0.3145  0.0036
410208  14.4 23  0.3561 -0.0059
410208  14.4 24  0.3978 -0.0164
