# CP-NWG,  ALPHA= 29.7 DEG., RE= 6.5 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
200410  15.2 39  0.9167 -0.1068
200410  15.2 40  0.9367 -0.1055
200410  15.2 41  0.9542 -0.0692
200410  15.2 42  0.9717  0.1390
200411  20.0  1  0.0000  0.0972
200411  20.0  2  0.0006  0.5265
200411  20.0  3  0.0022  0.7900
200411  20.0  4  0.0046  0.8752
200411  20.0  5  0.0074  0.8956
200411  20.0  6  0.0105  0.8565
200411  20.0  7  0.0137  0.8412
200411  20.0  8  0.0172  0.8117
200411  20.0  9  0.0208  0.7760
200411  20.0 10  0.0282  0.7162
200411  20.0 11  0.0358  0.6613
200411  20.0 12  0.0435  0.6180
200411  20.0 13  0.0555  0.5567
200411  20.0 14  0.0674  0.5052
200411  20.0 15  0.0876  0.4594
200411  20.0 16  0.1079  0.4127
200411  20.0 17  0.1284  0.3755
200411  20.0 18  0.1489  0.3439
200411  20.0 19  0.1901  0.2961
200411  20.0 20  0.2315  0.2573
200411  20.0 21  0.2728  0.2255
200411  20.0 22  0.3145  0.1958
200411  20.0 23  0.3561  0.1676
200411  20.0 24  0.3978  0.1444
200411  20.0 25  0.4396  0.1251
200411  20.0 26  0.4812  0.1028
200411  20.0 27  0.5229  0.0818
200411  20.0 28  0.5646  0.0584
200411  20.0 29  0.6062  0.0384
200411  20.0 30  0.6479  0.0232
200411  20.0 31  0.6892  0.0009
200411  20.0 32  0.7308 -0.0252
200411  20.0 33  0.7725 -0.0422
200411  20.0 34  0.8137 -0.0703
200411  20.0 35  0.8346 -0.0880
200411  20.0 36  0.8554 -0.0904
200411  20.0 37  0.8758 -0.1080
200411  20.0 38  0.8962 -0.1212
200411  20.0 39  0.9167 -0.1315
200411  20.0 40  0.9367 -0.1329
200411  20.0 41  0.9542 -0.0898
200411  20.0 42  0.9717  0.1133
200412  24.8  1  0.0000  0.1066
200412  24.8  2  0.0006  0.5029
200412  24.8  3  0.0022  0.7568
200412  24.8  4  0.0046  0.8279
200412  24.8  5  0.0074  0.8434
200412  24.8  6  0.0105  0.8008
200412  24.8  7  0.0137  0.7801
200412  24.8  8  0.0172  0.7513
200412  24.8  9  0.0208  0.7147
200412  24.8 10  0.0282  0.6561
200412  24.8 11  0.0358  0.6005
200412  24.8 12  0.0435  0.5529
200412  24.8 13  0.0555  0.4921
200412  24.8 14  0.0674  0.4401
200412  24.8 15  0.0876  0.3958
200412  24.8 16  0.1079  0.3520
200412  24.8 17  0.1284  0.3150
200412  24.8 18  0.1489  0.2835
200412  24.8 19  0.1901  0.2365
200412  24.8 20  0.2315  0.2021
200412  24.8 21  0.2728  0.1716
200412  24.8 22  0.3145  0.1378
200412  24.8 23  0.3561  0.1135
200412  24.8 24  0.3978  0.0929
200412  24.8 25  0.4396  0.0708
200412  24.8 26  0.4812  0.0522
200412  24.8 27  0.5229  0.0296
200412  24.8 28  0.5646  0.0082
200412  24.8 29  0.6062 -0.0087
200412  24.8 30  0.6479 -0.0261
200412  24.8 31  0.6892 -0.0459
200412  24.8 32  0.7308 -0.0685
200412  24.8 33  0.7725 -0.0873
200412  24.8 34  0.8137 -0.1145
200412  24.8 35  0.8346 -0.1250
200412  24.8 36  0.8554 -0.1302
200412  24.8 37  0.8758 -0.1448
200412  24.8 38  0.8962 -0.1569
200412  24.8 39  0.9167 -0.1636
200412  24.8 40  0.9367 -0.1564
200412  24.8 41  0.9542 -0.1121
200412  24.8 42  0.9717  0.0825
200413  29.6  1  0.0000  0.1048
200413  29.6  2  0.0006  0.4899
200413  29.6  3  0.0022  0.7212
200413  29.6  4  0.0046  0.7756
200413  29.6  5  0.0074  0.7832
200413  29.6  6  0.0105  0.7329
200413  29.6  7  0.0137  0.7118
200413  29.6  8  0.0172  0.6781
200413  29.6  9  0.0208  0.6473
200413  29.6 10  0.0282  0.5791
200413  29.6 11  0.0358  0.5265
200413  29.6 12  0.0435  0.4802
200413  29.6 13  0.0555  0.4135
200413  29.6 14  0.0674  0.3681
200413  29.6 15  0.0876  0.3243
200413  29.6 16  0.1079  0.2850
200413  29.6 17  0.1284  0.2439
200413  29.6 18  0.1489  0.2155
200413  29.6 19  0.1901  0.1699
200413  29.6 20  0.2315  0.1333
200413  29.6 21  0.2728  0.1019
200413  29.6 22  0.3145  0.0723
200413  29.6 23  0.3561  0.0489
200413  29.6 24  0.3978  0.0307
200413  29.6 25  0.4396  0.0113
200413  29.6 26  0.4812 -0.0068
200413  29.6 27  0.5229 -0.0281
200413  29.6 28  0.5646 -0.0500
200413  29.6 29  0.6062 -0.0627
200413  29.6 30  0.6479 -0.0768
200413  29.6 31  0.6892 -0.0988
200413  29.6 32  0.7308 -0.1196
200413  29.6 33  0.7725 -0.1341
200413  29.6 34  0.8137 -0.1565
200413  29.6 35  0.8346 -0.1674
200413  29.6 36  0.8554 -0.1746
200413  29.6 37  0.8758 -0.1859
200413  29.6 38  0.8962 -0.1960
200413  29.6 39  0.9167 -0.1986
200413  29.6 40  0.9367 -0.1810
200413  29.6 41  0.9542 -0.1336
200413  29.6 42  0.9717  0.0562
200414  35.2  1  0.0000  0.1003
200414  35.2  2  0.0006  0.4633
200414  35.2  3  0.0022  0.6599
200414  35.2  4  0.0046  0.7038
200414  35.2  5  0.0074  0.7040
200414  35.2  6  0.0105  0.6521
200414  35.2  7  0.0137  0.6168
200414  35.2  8  0.0172  0.5914
200414  35.2  9  0.0208  0.5554
200414  35.2 10  0.0282  0.4854
200414  35.2 11  0.0358  0.4257
200414  35.2 12  0.0435  0.3827
200414  35.2 13  0.0555  0.3226
200414  35.2 14  0.0674  0.2719
200414  35.2 15  0.0876  0.2292
200414  35.2 16  0.1079  0.1896
200414  35.2 17  0.1284  0.1559
200414  35.2 18  0.1489  0.1233
200414  35.2 19  0.1901  0.0757
200414  35.2 20  0.2315  0.0493
200414  35.2 21  0.2728  0.0159
200414  35.2 22  0.3145 -0.0125
200414  35.2 23  0.3561 -0.0325
200414  35.2 24  0.3978 -0.0504
200414  35.2 25  0.4396 -0.0647
200414  35.2 26  0.4812 -0.0821
200414  35.2 27  0.5229 -0.1015
200414  35.2 28  0.5646 -0.1214
200414  35.2 29  0.6062 -0.1352
200414  35.2 30  0.6479 -0.1464
200414  35.2 31  0.6892 -0.1662
200414  35.2 32  0.7308 -0.1841
200414  35.2 33  0.7725 -0.1974
200414  35.2 34  0.8137 -0.2199
200414  35.2 35  0.8346 -0.2295
200414  35.2 36  0.8554 -0.2242
200414  35.2 37  0.8758 -0.2315
200414  35.2 38  0.8962 -0.2371
200414  35.2 39  0.9167 -0.2321
200414  35.2 40  0.9367 -0.2165
200414  35.2 41  0.9542 -0.1644
200414  35.2 42  0.9717  0.0229
200415  40.0  1  0.0000  0.1044
200415  40.0  2  0.0006  0.4293
200415  40.0  3  0.0022  0.6179
200415  40.0  4  0.0046  0.6346
200415  40.0  5  0.0074  0.6251
200415  40.0  6  0.0105  0.5722
200415  40.0  7  0.0137  0.5384
200415  40.0  8  0.0172  0.5051
200415  40.0  9  0.0208  0.4658
200415  40.0 10  0.0282  0.4012
200415  40.0 11  0.0358  0.3418
200415  40.0 12  0.0435  0.2950
200415  40.0 13  0.0555  0.2366
200415  40.0 14  0.0674  0.1863
200415  40.0 15  0.0876  0.1458
200415  40.0 16  0.1079  0.1088
200415  40.0 17  0.1284  0.0742
200415  40.0 18  0.1489  0.0439
200415  40.0 19  0.1901  0.0021
200415  40.0 20  0.2315 -0.0262
200415  40.0 21  0.2728 -0.0560
200415  40.0 22  0.3145 -0.0836
200415  40.0 23  0.3561 -0.1037
200415  40.0 24  0.3978 -0.1195
200415  40.0 25  0.4396 -0.1341
200415  40.0 26  0.4812 -0.1541
200415  40.0 27  0.5229 -0.1702
200415  40.0 28  0.5646 -0.1863
200415  40.0 29  0.6062 -0.1979
200415  40.0 30  0.6479 -0.2091
200415  40.0 31  0.6892 -0.2228
200415  40.0 32  0.7308 -0.2353
200415  40.0 33  0.7725 -0.2486
200415  40.0 34  0.8137 -0.2647
200415  40.0 35  0.8346 -0.2690
